"monthfoodinsecure","Count","Percent"
"0",3748,74.9450109978004
"1",249,4.97900419916017
"2",382,7.63847230553889
"3",81,1.61967606478704
"4",59,1.17976404719056
"5",74,1.47970405918816
"6",47,0.939812037592481
"Unknown",361,7.21855628874225
