"Locale","Count","Percent","gap","PositiveGap"
"Town",107,11.6684841875682,-13.3315158124318,"No"
"Rural",176,19.1930207197383,-5.80697928026172,"No"
"City",299,32.6063249727372,7.60632497273719,"Yes"
"Suburb",335,36.5321701199564,11.5321701199564,"Yes"
